Unnamed: 0,long_name,short_name,geolocation,is_goverment,rating,logo,website,phone_admission,phone_general,email_general,email_admission,comment
42,Поволжский казачий государственный институт управления и пищевых технологий - филиал Московского государственного университета технологий и управления им. К.Г. Разумовского,Поволжский казачий институт управления и пищевых технологий МГУТУ,Ульяновская область,1,-1,https://tabiturient.ru/logovuz/mgutu.png,http://www.dimpku.ru/,[],[],[],[],
43,Покровский филиал Московского педагогического государственного университета,Покровский филиал МПГУ,Владимирская область,1,-1,https://tabiturient.ru/logovuz/mpgupokrovskiyfilial.png,http://mpgu.su/ob-mpgu/struktura/filialyi/pokrovskiy-filial,[],[],[],['f_pokrov@mpgu.su'],
44,Политехнический институт (филиал) Уральского федерального университета в Каменске-Уральском,Политехнический институт (филиал) УрФУ в Каменске-Уральском,Свердловская область,1,-1,https://tabiturient.ru/logovuz/kuralskurfu.png,https://k-uralsk.urfu.ru/ru/,[],['+7(3439) 32-22-92'],['k-uralsk@urfu.ru'],[],
45,Политехнический институт (филиал) Донского государственного технического университета в г. Таганроге,Политехнический институт ДГТУ в г. Таганроге,Ростовская область,1,-1,https://tabiturient.ru/logovuz/donstu.png,https://tpi.donstu.ru/,[],[],[],[],
46,Политехнический институт (филиал) Северо-Восточного федерального университета имени М.К. Аммосова,Политехнический институт СВФУ им. М.К. Аммосова в г. Мирном,Республика Саха (Якутия),1,-1,https://tabiturient.ru/logovuz/svfu.png,https://www.s-vfu.ru/abit/detail.php?SECTION_ID=5471,[],[],[],[],
47,Приморский государственный аграрно-технологический университет,Приморский ГАТУ,Приморский край,1,3,https://tabiturient.ru/logovuz/primacad.png,http://www.primacad.ru/,[],['8 (4234) 26-54-34'],['prikom@primacad.ru'],[],
48,Приморский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Приморский филиал РАНХиГС,Приморский край,1,-1,https://tabiturient.ru/logovuz/prim_ranepa.png,https://prim.ranepa.ru/,[],['+7 (423) 263-01-85'],['post-prim@ranepa.ru'],[],
49,Псковский государственный университет,ПсковГУ,Псковская область,1,6,https://tabiturient.ru/logovuz/pskgu.png,https://pskgu.ru/,[],[],[],"['rector@pskgu.ru', 'priem@pskgu.ru']",
50,Пятигорский институт (филиал) Северо-Кавказского федерального университета,Пятигорский институт (филиал) СКФУ,Ставропольский край,1,-1,https://tabiturient.ru/logovuz/ncfu.png,https://pf.ncfu.ru/,"['+7 8793 97-39-27', '+7 8793 33-77-61']","['+7 8793 33-77-61', '+7 8793 97-39-27']",[],[],
51,Российская Академия Народного Хозяйства и Государственной Службы при Президенте РФ,РАНХиГС,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/ranepa.png,http://www.ranepa.ru/,[],[],[],[],
52,Северо-Западный институт управления РАНХиГС,РАНХиГС Санкт-Петербург,Санкт-Петербург и Ленинградская область,1,10,https://tabiturient.ru/logovuz/sziu_ranepa.png,https://spb.ranepa.ru/,['+7 (812) 335-94-94'],[],[],[],
53,Российская государственная академия интеллектуальной собственности,РГАИС,Москва и Московская область,1,9,https://tabiturient.ru/logovuz/rgiis.png,http://rgiis.ru/,['+7 (499) 460-05-20'],['+7 (499) 460-05-20'],"['inst@rgiis.ru', 'info@rgiis.ru']",['info@rgiis.ru'],
54,Рязанский государственный агротехнологический университет имени П.А. Костычева,РГАТУ им. П.А. Костычева,Рязанская область,1,3,https://tabiturient.ru/logovuz/rgatu.png,http://www.rgatu.ru/,[],[],[],[],
55,Рыбинский государственный авиационный технический университет имени П.А. Соловьева,РГАТУ им. П.А. Соловьева,Ярославская область,1,3,https://tabiturient.ru/logovuz/rsatu.png,https://www.rsatu.ru/,['8 (800) 550-31-00'],"['8 (800) 222-55-71', '8 (800) 550-31-00']",['rector@rsatu.ru'],[],
56,Московская сельскохозяйственная академия имени К. А. Тимирязева,РГАУ-МСХА имени К. А. Тимирязева,Москва и Московская область,1,9,https://tabiturient.ru/logovuz/timacad.png,http://www.pk.timacad.ru/,[],[],[],[],
57,Российский государственный гидрометеорологический университет,РГГМУ,Санкт-Петербург и Ленинградская область,1,8,https://tabiturient.ru/logovuz/rshu.png,http://www.rshu.ru/,[],[],[],[],
58,Российский Государственный Гуманитарный Университет,РГГУ,Москва и Московская область,1,9,https://tabiturient.ru/logovuz/rsuh.png,https://www.rsuh.ru/,['+7(495) 250-61-18'],[],[],['rsuh@rsuh.ru'],
59,Ростовская государственная консерватория имени С.В. Рахманинова,РГК им. С.В. Рахманинова,Ростовская область,1,-1,https://tabiturient.ru/logovuz/rostcons.png,https://rostcons.ru/entrant/entrant_2021.html,['8 (863) 262-33-42'],[],[],['priem2021rgk@mail.ru'],
60,Российский государственный профессионально-педагогический университет,РГППУ,Свердловская область,1,7,https://tabiturient.ru/logovuz/rsvpu.png,https://www.rsvpu.ru/,[],[],[],[],
61,Российский государственный педагогический университет имени А. И. Герцена,РГПУ им. Герцена,Санкт-Петербург и Ленинградская область,1,9,https://tabiturient.ru/logovuz/herzen.png,https://www.herzen.spb.ru/,"['+7 (812) 643-77-63', '+7 (812) 643-77-66']",[],[],"['pk@herzen.spb.ru', 'admission@herzen.spb.ru']",
62,Рязанский государственный радиотехнический университет им. В.Ф. Уткина,РГРТУ,Рязанская область,1,5,https://tabiturient.ru/logovuz/rsreu.png,http://www.rsreu.ru/,['+7(4912)72-04-24'],['+7(4912)72-03-03'],['rgrtu@rsreu.ru'],['pk@rsreu.ru'],
63,Российский государственный социальный университет,РГСУ,Москва и Московская область,1,5,https://tabiturient.ru/logovuz/rgsu.png,http://rgsu.net/,[],[],[],[],
64,"ФГБОУ ВО ""Российский государственный университет имени А.Н. Косыгина (Технологии.Дизайн.Искусство)""",РГУ им. А.Н. Косыгина,Москва и Московская область,1,9,https://tabiturient.ru/logovuz/kosygin.png,https://kosygin-rgu.ru/,[],[],[],[],
65,Рязанский государственный университет имени С.А. Есенина,РГУ им. С.А. Есенина,Рязанская область,1,6,https://tabiturient.ru/logovuz/rsuedu.png,https://www.rsu.edu.ru/,[],[],[],[],
66,Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М Губкина,РГУ нефти и газа (НИУ) имени И. М. Губкина,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/gubkin.png,http://www.gubkin.ru/,['+7 (499) 507-82-73'],"['+74995078306', '+7 (499) 507-82-73']",[],['com@gubkin.ru'],
67,Российский Государственный Университет Правосудия,РГУП,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/raj.png,http://www.rgup.ru/,['+7 (495)332-53-51'],[],[],[],
68,Ростовский государственный университет путей сообщения,РГУПС,Ростовская область,1,6,https://tabiturient.ru/logovuz/rgups.png,http://www.rgups.ru/,[],[],[],[],
69,Российский государственный университет туризма и сервиса,РГУТИС,Москва и Московская область,1,9,https://tabiturient.ru/logovuz/rguts.png,http://rguts.ru/,[],[],['obrashenia@rguts.ru'],[],
70,Российский государственный художественно-промышленный университет имени С. Г. Строганова,РГХПУ им. С.Г. Строганова,Москва и Московская область,1,-1,https://tabiturient.ru/logovuz/stroganov.png,https://академия-строганова.рф/,[],[],['info@mghpu.ru'],['info@mghpu.ru'],
71,Ростовский государственный экономический университет (РИНХ),РГЭУ (РИНХ),Ростовская область,1,5,https://tabiturient.ru/logovuz/rsue.png,https://rsue.ru/,[],[],[],[],
72,Российский национальный исследовательский медицинский университет имени Н. И. Пирогова,РНИМУ им. Пирогова,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/pirogova.png,http://rsmu.ru/,[],[],[],['rsmu@rsmu.ru'],
73,Российский биотехнологический университет,РОСБИОТЕХ,Москва и Московская область,1,9,https://tabiturient.ru/logovuz/mgupp.png,http://www.mgupp.ru/,"['8 (800) 550-36-02', '+7 (499) 750-00-05']",['8 (800) 550-36-02'],[],[],
74,Российская таможенная академия,РТА,Москва и Московская область,1,9,https://tabiturient.ru/logovuz/rta.png,https://academy.customs.gov.ru/,['8 (495) 500-13-32'],"['8 (498) 602-39-49', '8 (495) 559-00-33']",[],['academy@customs-academy.ru'],
75,МИРЭА - Российский технологический университет,РТУ МИРЭА,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/mirea.png,https://www.mirea.ru/,['+7 (499) 600-80-80'],['+7 (499) 600-80-80'],['rector@mirea.ru'],['rector@mirea.ru'],
76,Российский университет дружбы народов имени Патриса Лумумбы,РУДН,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/rudn.png,http://www.rudn.ru/,[],[],['pr@rudn.ru'],[],
77,Российский университет спорта «ГЦОЛИФК»,РУС «ГЦОЛИФК»,Москва и Московская область,1,7,https://tabiturient.ru/logovuz/rgufksmit.png,https://www.sportedu.ru/,[],[],[],[],
78,Российский университет транспорта,РУТ (МИИТ),Москва и Московская область,1,8,https://tabiturient.ru/logovuz/miit.png,http://www.miit.ru/,[],[],[],[],
79,Ростовский филиал Российского Государственного Университета Правосудия (г. Ростов-на-Дону),РФ ФГБОУВО «РГУП»,Ростовская область,1,-1,https://tabiturient.ru/logovuz/raj.png,https://rb.rgup.ru/,['+7 (863) 297-57-11'],[],[],[],
80,Российский химико-технологический университет имени Д.И. Менделеева,РХТУ им. Д. И. Менделеева,Москва и Московская область,1,9,https://tabiturient.ru/logovuz/muctr.png,https://muctr.ru/,[],['+7 (499) 978-86-60'],[],[],
81,Российский экономический университет имени Г.В. Плеханова,РЭУ им. Г.В. Плеханова,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/reu.png,https://рэу.рф/,['+7 (495) 958-27-43'],[],[],['rector@rea.ru'],
82,Российская экономическая школа,РЭШ,Москва и Московская область,0,10,https://tabiturient.ru/logovuz/nes.png,https://www.nes.ru/,[],[],[],[],
83,Ростовский государственный медицинский университет,РостГМУ,Ростовская область,1,9,https://tabiturient.ru/logovuz/rostgmu.png,http://rostgmu.ru/,['+7 (863) 250-41-16'],[],[],['klinika@rostgmu.ru'],
84,Ростовский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюста России),Ростовский институт ВГУЮ,Ростовская область,1,-1,https://tabiturient.ru/logovuz/rpa.png,https://rostov.rpa-mu.ru/,"[""+7 (863) 308 - 95 - 34""]","[""""]",[],"[""""]",
85,Ростовский филиал Московского государственного технического университета гражданской авиации,Ростовский филиал МГТУ ГА,Ростовская область,1,-1,https://tabiturient.ru/logovuz/mstuca.png,http://rfmstuca.ru/,[],[],[],[],
86,Ростовский филиал Российской таможенной академии,Ростовский филиал РТА,Ростовская область,1,-1,https://tabiturient.ru/logovuz/rta.png,https://donrta.customs.gov.ru/,[],[],['rta-rostov@donrta.ru'],[],
87,Ростовский-на-Дону филиал филиал Всероссийского государственного института кинематографии им. С.А. Герасимова,Ростовский-на-Дону филиал ВГИК,Ростовская область,1,-1,https://tabiturient.ru/logovuz/vgik.png,http://vgik-rostov.ru/,[],[],[],['info@vgik-rostov.ru'],
88,Рубцовский индустриальный институт (филиал) Алтайского государственного технического университета имени И. И. Ползунова,Рубцовский индустриальный институт АлтГТУ им. И.И. Ползунова,Алтайский край,1,-1,https://tabiturient.ru/logovuz/altstu.png,https://www.rubinst.ru/i,[],[],[],[],
89,Рубцовский институт (филиал) Алтайского государственного университета,Рубцовский институт АлтГУ,Алтайский край,1,-1,https://tabiturient.ru/logovuz/altsu.png,https://rb.asu.ru/,[],[],['director@rb.asu.ru'],"['prcom@rb.asu.ru', 'director@rb.asu.ru']",
90,Рузаевский институт машиностроения (филиал) Национального исследовательского Мордовского государственного университета имени Н.П. Огарева,Рузаевский институт машиностроения (филиал) МГУ имени Н.П. Огарева,Республика Мордовия,1,-1,https://tabiturient.ru/logovuz/mrsu.png,https://rim.mrsu.ru/,[],[],['inst-mach@adm.mrsu.ru'],[],
91,Рязанский государственный медицинский университет имени РязГМУ им. И.П. Павлова,РязГМУ им. И.П. Павлова,Рязанская область,1,10,https://tabiturient.ru/logovuz/rzgmu.png,https://rzgmu.ru/,[],['+7 (4912) 97-18-18'],['rzgmu@rzgmu.ru'],[],
92,Рязанский институт (филиал) Московского политехнического университета,Рязанский институт Московского политеха,Рязанская область,1,-1,https://tabiturient.ru/logovuz/mospolytech.png,https://rimsou.ru/,"['+7 (4912) 28-39-60', '+7 (4912) 25-41-48', '+7 (4912)28-39-60']","['+7 (4912) 25-41-48', '+7 (4912) 28-39-61']",['dir@rimsou.ru'],"['dir@rimsou.ru', 'pk@rimsou.ru']",
93,Северо-Кавказский филиал Московского автомобильно-дорожного государственного технического университета,С-КФ МАДИ,Ставропольский край,1,-1,https://tabiturient.ru/logovuz/madi.png,http://www.skfmadi.ru/,[],[],[],[],
94,Северный (Арктический) федеральный университет имени М.В. Ломоносова,САФУ им. М.В. Ломоносова,Архангельская область,1,6,https://tabiturient.ru/logovuz/narfu.png,https://narfu.ru/,[],[],[],[],
95,Северо-Восточный государственный университет,СВГУ,Магаданская область,1,3,https://tabiturient.ru/logovuz/svgu.png,https://www.svgu.ru/,[],[],[],[],
96,Северо-Восточный федеральный университет имени М.К. Аммосова,СВФУ им. Аммосова,Республика Саха (Якутия),1,7,https://tabiturient.ru/logovuz/svfu.png,https://www.s-vfu.ru/,[],[],[],[],
97,Саратовский государственный аграрный университет имени Н.И. Вавилова,СГАУ им. Н.И. Вавилова,Саратовская область,1,3,https://tabiturient.ru/logovuz/sgau.png,http://www.sgau.ru/,[],"['8 (8452) 23-32-92', '8 (8452) 26-06-39']","['pressa@vavilovsar.ru', 'rector@vavilovsar.ru']",[],
98,Cмоленский государственный институт искусств,СГИИ,Смоленская область,1,-1,https://tabiturient.ru/logovuz/sgiismol.png,https://www.sgii-smol.ru/,[],['+7 (4812) 31-02-88'],['sgii@mail.ru'],[],
99,Самарский государственный институт культуры,СГИК,Самарская область,1,-1,https://tabiturient.ru/logovuz/smrgaki.png,http://smrgaki.ru/,[],[],[],[],
100,Саратовская государственная консерватория имени Л. В. Собинова,СГК им. Л. В. Собинова,Саратовская область,1,-1,https://tabiturient.ru/logovuz/sarcons.png,http://www.sarcons.ru/,[],[],[],['sgk@sarcons.ru'],
101,Северный государственный медицинский университет,СГМУ,Архангельская область,1,7,https://tabiturient.ru/logovuz/nsmu.png,http://www.nsmu.ru/,[],['8182)21-11-63'],[],[],
102,Саратовский государственный медицинский университет им. Разумовского,СГМУ им. В.И. Разумовского,Саратовская область,1,9,https://tabiturient.ru/logovuz/sgmu.png,http://www.sgmu.ru/,[],[],[],[],
103,Ставропольский государственный педагогический институт,СГПИ,Ставропольский край,1,3,https://tabiturient.ru/logovuz/sspi.png,https://www.sspi.ru/,['891011121314'],"['8(8652)56-08-26', '891011121314']",['sgpi@mosk.stavregion.ru'],['sgpi@mosk.stavregion.ru'],
104,Соликамский государственный педагогический институт (филиал) Пермского государственного национального исследовательского университета,СГПИ филиал ПГНИУ,Пермский край,1,-1,https://tabiturient.ru/logovuz/psu.png,https://solgpi.ru,[],[],"['inst@solgpi.ru', 'pkomis@solgpi.ru']",[],
105,Самарский государственный социально-педагогический университет,СГСПУ,Самарская область,1,7,https://tabiturient.ru/logovuz/pgsga.png,http://www.pgsga.ru/,[],[],[],[],
106,Саратовский государственный технический университет им. Ю.А.Гагарина,СГТУ им. Ю.А. Гагарина,Саратовская область,1,5,https://tabiturient.ru/logovuz/sstu.png,http://sstu.ru/,[],[],[],[],
107,Сочинский государственный университет,СГУ,Краснодарский край,1,3,https://tabiturient.ru/logovuz/sutr.png,http://www.sutr.ru/,[],['+7 (862) 264-85-03'],[],[],
108,Саратовский государственный университет имени Н. Г. Чернышевского,СГУ им. Н. Г. Чернышевского,Саратовская область,1,7,https://tabiturient.ru/logovuz/sgu.png,https://www.sgu.ru/,['8 (937) 811-67-46'],[],[],"['rector@sgu.ru', 'cpk@sgu.ru']",
109,Сыктывкарский государственный университет имени Питирима Сорокина,СГУ им. Питирима Сорокина,Республика Коми,1,6,https://tabiturient.ru/logovuz/syktsu.png,https://www.syktsu.ru/,[],[],[],['webdept@syktsu.ru'],
110,Сибирский государственный университет водного транспорта,СГУВТ,Новосибирская область,1,3,https://tabiturient.ru/logovuz/ssuwt.png,http://www.ssuwt.ru/,"['+7 (383) 222-64-68', '8 800 200 4863']",[],[],['info@nsawt.ru'],
111,Сибирский государственный университет геосистем и технологий,СГУГиТ,Новосибирская область,1,6,https://tabiturient.ru/logovuz/sgugit.png,https://sgugit.ru/,"['+7 (383) 343-39-37', '+7 (383) 354-98-38']",[],[],"['rektorat@ssga.ru', 'priem.com@ssga.ru']",
112,Сибирский государственный университет путей сообщения,СГУПС,Новосибирская область,1,5,https://tabiturient.ru/logovuz/stu.png,http://www.stu.ru/,[],[],[],[],
113,Смоленский государственный университет спорта,СГУС,Смоленская область,1,5,https://tabiturient.ru/logovuz/sgafkst.png,http://www.sgafkst.ru/,[],[],[],[],
114,Самарский государственный экономический университет,СГЭУ,Самарская область,1,7,https://tabiturient.ru/logovuz/sseu.png,https://www.sseu.ru/,[],[],[],[],
115,Саратовская государственная юридическая академия,СГЮА,Саратовская область,1,9,https://tabiturient.ru/logovuz/sgua.png,https://tabiturient.ru/sravni/?sgua,[],[],[],[],
116,Северо-Западный государственный медицинский университет имени И. И. Мечникова,СЗГМУ им. И.И. Мечникова,Санкт-Петербург и Ленинградская область,1,10,https://tabiturient.ru/logovuz/szgmu.png,https://szgmu.ru/,[],['+7 (812) 303-50-00'],[],[],
117,Северо-Западный филиал Российского Государственного Университета Правосудия (г. Санкт-Петербург),СЗФ ФГБОУВО «РГУП»,Санкт-Петербург и Ленинградская область,1,-1,https://tabiturient.ru/logovuz/raj.png,https://nwb.rgup.ru/,"['+7 (812) 655-64-55', '+7 (812) 655-64-63']",[],[],[],
118,Северо-Кавказский горно-металлургический институт (государственный технологический университет),СКГМИ (ГТУ),Республика Северная Осетия - Алания,1,5,https://tabiturient.ru/logovuz/skgmigtu.png,http://www.skgmi-gtu.ru/ru-ru/,['8 800 200-38-72'],[],[],['info@skgmi-gtu.ru'],
119,Северо-Кавказский филиал Московского технического университета связи и информатики,СКФ МТУСИ,Ростовская область,1,5,https://tabiturient.ru/logovuz/skfmtusi.png,http://www.skf-mtusi.ru,['81920212223'],[],[],[],
120,Северо-Кавказский филиал Российского Государственного Университета Правосудия (г. Краснодар),СКФ ФГБОУВО «РГУП»,Краснодарский край,1,-1,https://tabiturient.ru/logovuz/raj.png,https://www.ncb.rgup.ru/,"['+7 (861) 251-69-20', '+7 (861) 251-65-10']",[],[],[],
121,Северо-Кавказский федеральный университет,СКФУ,Ставропольский край,1,7,https://tabiturient.ru/logovuz/ncfu.png,http://www.ncfu.ru,['8 (8652) 95-68-13'],"['8 (8652) 95-68-13', '8 (8652) 95-68-08']",['info@ncfu.ru'],['info@ncfu.ru'],
122,Северо-Осетинская государственная медицинская академия,СОГМА,Республика Северная Осетия - Алания,1,7,https://tabiturient.ru/logovuz/sogma.png,http://sogma.ru/,[],[],[],[],
123,Северо-Осетинский государственный педагогический институт,СОГПИ,Республика Северная Осетия - Алания,1,-1,https://tabiturient.ru/logovuz/sogpi.png,https://sogpi.org/ru/,[],[],[],[],
124,Северо-Осетинский государственный университет имени К. Л. Хетагурова,СОГУ,Республика Северная Осетия - Алания,1,5,https://tabiturient.ru/logovuz/nosu.png,https://www.nosu.ru/,"[""+7 (8672) 333-920""]","[""nosu@nosu.ru""]",['nosu@nosu.ru'],"[""""]",
125,Старооскольский филиал Российского государственного геологоразведочного университета имени Серго Орджоникидзе,СОФ МГРИ,Белгородская область,1,-1,https://tabiturient.ru/logovuz/mgri.png,http://www.sofmgri.ru/,['+7 (4725) 22-52-74'],['+7 (4725) 22-52-74'],['info@sofmgri.ru'],['info@sofmgri.ru'],
126,Санкт-Петербургский государственный химико-фармацевтический университет,СПХФУ,Санкт-Петербург и Ленинградская область,1,7,https://tabiturient.ru/logovuz/spcpu.png,https://spcpu.ru/,['8 (812) 499-39-00'],"['+7 (812) 499-39-00', '8(812)499-39-13']",['rectorat.main@pharminnotech.com'],['info@pharminnotech.com'],
127,Санкт-Петербургский государственный архитектурно-строительный университет,СПбГАСУ,Санкт-Петербург и Ленинградская область,1,9,https://tabiturient.ru/logovuz/spbgasu.png,http://www.spbgasu.ru/,"['+7 (812) 316-20-26', '+7 (812) 575-05-34']",[],[],"['prc@spbgasu.ru', 'rector@spbgasu.ru']",
128,Санкт-Петербургский государственный институт культуры,СПбГИК,Санкт-Петербург и Ленинградская область,1,-1,https://tabiturient.ru/logovuz/spbgik.png,http://www.spbgik.ru,[],[],[],[],
129,Санкт-Петербургский государственный институт психологии и социальной работы,СПбГИПСР,Санкт-Петербург и Ленинградская область,1,7,https://tabiturient.ru/logovuz/spbpsysoc.png,https://psysocwork.ru/,['+7 (812) 323-07-70'],[],[],['priem@gipsr.ru'],
130,Санкт-Петербургский государственный лесотехнический университет им. С. М. Кирова,СПбГЛТУ им. С.М. Кирова,Санкт-Петербург и Ленинградская область,1,5,https://tabiturient.ru/logovuz/spbftu.png,http://spbftu.ru/,['+7 (812) 217-92-97'],[],[],['pricom@spbftu.ru'],
131,Санкт-Петербургский государственный морской технический университет,СПбГМТУ,Санкт-Петербург и Ленинградская область,1,7,https://tabiturient.ru/logovuz/smtu.png,https://www.smtu.ru/,['+7 (812) 495-26-48'],['+7 (812) 495-26-48'],[],[],
132,Санкт-Петербургский государственный педиатрический медицинский университет,СПбГПМУ,Санкт-Петербург и Ленинградская область,1,10,https://tabiturient.ru/logovuz/gpmu.png,https://gpmu.org/,['+7\xa0(812)\xa0542-93-57'],['+7\xa0(812)\xa0542-93-57'],[],[],
133,Санкт-Петербургский государственный технологический институт (технический университет),СПбГТИ(ТУ),Санкт-Петербург и Ленинградская область,1,6,https://tabiturient.ru/logovuz/spbgti.png,http://technolog.edu.ru/,"['+7 812 494-92-03', '+7 981 139-84-66']",['+7 812 494-92-03'],[],['abitur@spbti.ru'],
134,Санкт-Петербургский государственный университет,СПбГУ,Санкт-Петербург и Ленинградская область,1,10,https://tabiturient.ru/logovuz/spbgu.png,http://spbu.ru/,[],[],[],[],
135,Санкт-Петербургский государственный университет ветеринарной медицины,СПбГУВМ,Санкт-Петербург и Ленинградская область,1,7,https://tabiturient.ru/logovuz/spbguvm.png,https://spbguvm.ru/,"['8 (800) 200-00-57', '8 812 387-51-44', '+7 (812) 388-36-31']",['8 812 387-51-44'],['69priem@spbguvm.ru'],"['69priem@spbguvm.ru', 'secretary@spbguvm.ru', 'priem@spbguvm.ru']",
136,Санкт-Петербургский государственный университет гражданской авиации,СПбГУГА,Санкт-Петербург и Ленинградская область,1,5,https://tabiturient.ru/logovuz/spbguga.png,https://spbguga.ru/,[],[],[],[],
137,Санкт-Петербургский государственный университет промышленных технологий и дизайна,СПбГУПТД,Санкт-Петербург и Ленинградская область,1,7,https://tabiturient.ru/logovuz/sutd.png,https://nsau.edu.ru/,[],[],[],[],
138,Санкт-Петербургский государственный университет телекоммуникаций имени профессора М. А. Бонч-Бруевича,СПбГУТ,Санкт-Петербург и Ленинградская область,1,9,https://tabiturient.ru/logovuz/sut.png,https://www.sut.ru/,[],[],[],[],
139,Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина),СПбГЭТУ «ЛЭТИ»,Санкт-Петербург и Ленинградская область,1,10,https://tabiturient.ru/logovuz/eltech.png,http://www.eltech.ru,[],[],[],[],
140,Санкт-Петербургский государственный экономический университет,СПбГЭУ,Санкт-Петербург и Ленинградская область,1,10,https://tabiturient.ru/logovuz/spbgeu.png,http://unecon.ru/,[],[],[],[],
141,Санкт-Петербургский политехнический университет Петра Великого,СПбПУ Петра Великого,Санкт-Петербург и Ленинградская область,1,10,https://tabiturient.ru/logovuz/spbstu.png,http://www.spbstu.ru/,[],['+7 (812) 775-05-30'],['office@spbstu.ru'],[],
142,Северский технологический институт (филиал) Национального исследовательского ядерного университета МИФИ,СТИ НИЯУ МИФИ,Томская область,1,-1,https://tabiturient.ru/logovuz/ssti.png,http://www.ssti.ru/,[],[],[],[],
143,Снежинский физико-технический институт (филиал) Национального исследовательского ядерного университета МИФИ,СФТИ НИЯУ МИФИ,Челябинская область,1,-1,https://tabiturient.ru/logovuz/sphti.png,https://www.sphti.ru/,[],[],[],[],
144,Сибирский федеральный университет,СФУ,Красноярский край,1,8,https://tabiturient.ru/logovuz/sfu.png,http://www.sfu-kras.ru,"['+7 (391) 206-22-22', '+7 (800) 550-22-24']",[],[],[],
145,Самарский государственный медицинский университет,СамГМУ,Самарская область,1,8,https://tabiturient.ru/logovuz/samsmu.png,http://www.samsmu.ru/,[],[],[],[],
146,Самарский государственный технический университет,СамГТУ,Самарская область,1,5,https://tabiturient.ru/logovuz/samgtu.png,https://samgtu.ru/,"['+7 (800) 302-17-71', '8 (846) 278-43-11']",['8 (846) 278-43-11'],['rector@samgtu.ru'],['rector@samgtu.ru'],
147,Самарский государственный университет путей сообщения,СамГУПС,Самарская область,1,3,https://tabiturient.ru/logovuz/samgups.png,https://www.samgups.ru/,['8(800)775-23-25'],[],[],['rektorat@samgups.ru'],
148,Самарский государственный аграрный университет,Самарский ГАУ,Самарская область,1,3,https://tabiturient.ru/logovuz/ssaa.png,http://www.ssaa.ru/,[],[],[],[],
149,Самарский национальный исследовательский университет имени академика С. П. Королёва,Самарский университет (СНИУ),Самарская область,1,7,https://tabiturient.ru/logovuz/ssau.png,https://ssau.ru/,['8 (800) 550-34-35'],[],[],['priem@ssau.ru'],
150,Самарский филиал Волжского государственного университета водного транспорта,Самарский филиал ВГУВТ,Самарская область,1,-1,https://tabiturient.ru/logovuz/vsuwt.png,http://samara.vsuwt.ru/,[],[],[],[],
151,Самарский филиал Московского Городского Педагогического Университета,Самарский филиал МГПУ,Самарская область,1,-1,https://tabiturient.ru/logovuz/mgpu.png,https://samara.mgpu.ru/,"['891011121314', '+7 (846) 989-14-35']",[],[],['priem_samara@mgpu.ru'],
152,Санкт-Петербургский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюста России),Санкт-Петербургский инсититут ВГУЮ,Санкт-Петербург и Ленинградская область,1,-1,https://tabiturient.ru/logovuz/rpa.png,https://spb.rpa-mu.ru/,"[""8 (812) 677-97-64 (доб. 400)""]","[""baskov-16@mail.ru""]",[],"[""""]",
153,Санкт-Петербургский филиал Российской таможенной академии,Санкт-Петербургский филиал РТА,Санкт-Петербург и Ленинградская область,1,-1,https://tabiturient.ru/logovuz/rta.png,https://spbrta.customs.gov.ru,[],"['8 (812) 706-12-19', '+7 (812) 706-12-19', '8 (812) 706-12-00']",['pk@spbrta.ru'],[],
154,Санкт-Петербургский филиал Финансового Университета при Правительстве Российской Федерации,Санкт-Петербургский филиал ФУ при Правительстве РФ,Санкт-Петербург и Ленинградская область,1,-1,https://tabiturient.ru/logovuz/fu.png,http://www.fa.ru/fil/spb/,[],[],[],[],
155,Саровский физико-технический институт (филиал) Национального исследовательского ядерного университета МИФИ,СарФТИ НИЯУ МИФИ,Нижегородская область,1,-1,https://tabiturient.ru/logovuz/sarfti.png,https://sarfti.ru/,[],[],[],['support@sarfti.ru'],
156,Сарапульский политехнический институт (филиал) Ижевского государственного технического университета имени М. Т. Калашникова,Сарапульский политехнический институт ИжГТУ им. М.Т. Калашникова,Удмуртская Республика,1,-1,https://tabiturient.ru/logovuz/izstu.png,https://politehvpo.ru/,[],[],['inbox@politehvpo.ru'],[],
157,Сахалинский государственный университет,СахГУ,Сахалинская область,1,3,https://tabiturient.ru/logovuz/sakhgu.png,http://sakhgu.ru/,[],[],[],[],
158,Себряковский филиал Волгоградского государственного технического университета,Себряковский филиал ВолгГТУ,Вологодская область,1,-1,https://tabiturient.ru/logovuz/vstu.png,http://www.sfvstu.ru/,[],[],['sfpk@vstu.ru'],['sfpk@vstu.ru'],
