direction,profile,program_code,vuz,faculty,exams,scores,forms
Биология,Биология,06.03.01,Негосударственное образовательное частное учреждение высшего образования «Московский институт психоанализа»,Биология,[],"[['очная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Культурология,Культурология,51.03.01,Негосударственное образовательное частное учреждение высшего образования «Московский институт психоанализа»,Культурология,[],"[['очная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Психология,Психология,37.03.01,Негосударственное образовательное частное учреждение высшего образования «Московский институт психоанализа»,Психология,[],"[['+', 'очная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Психолого-педагогическое образование,Психолого-педагогическое образование,44.03.02,Негосударственное образовательное частное учреждение высшего образования «Московский институт психоанализа»,Психолого-педагогическое образование,[],"[['+', 'очная'], ['+', 'заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Специальное (дефектологическое) образование,Специальное (дефектологическое) образование,44.03.03,Негосударственное образовательное частное учреждение высшего образования «Московский институт психоанализа»,Специальное (дефектологическое) образование,[],"[['+', 'очная'], ['+', 'заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Управление персоналом,Управление персоналом,38.03.03,Негосударственное образовательное частное учреждение высшего образования «Московский институт психоанализа»,Управление персоналом,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Бизнес-информатика,Бизнес-информатика,38.03.05,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В.Жириновского»,Бизнес-информатика,[],"[['+', 'очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Государственное и муниципальное управление,Государственное и муниципальное управление,38.03.04,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В.Жириновского»,Государственное и муниципальное управление,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Дизайн,Дизайн,54.03.01,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В.Жириновского»,Дизайн,[],"[['очная'], ['+', 'очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Журналистика,Журналистика,42.03.02,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В.Жириновского»,Журналистика,[],"[['+', 'очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Зарубежное регионоведение,Зарубежное регионоведение,41.03.01,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В.Жириновского»,Зарубежное регионоведение,[],"[['очная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Лингвистика,Лингвистика,45.03.02,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В.Жириновского»,Лингвистика,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Международные отношения,Международные отношения,41.03.05,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В.Жириновского»,Международные отношения,[],"[['+', 'очная']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Менеджмент,Менеджмент,38.03.02,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В.Жириновского»,Менеджмент,[],"[['+', 'очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Политология,Политология,41.03.04,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В.Жириновского»,Политология,[],"[['+', 'очная'], ['очно-заочная']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Психология,Психология,37.03.01,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В.Жириновского»,Психология,[],"[['очная'], ['+', 'очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Реклама и связи с общественностью,Реклама и связи с общественностью,42.03.01,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В.Жириновского»,Реклама и связи с общественностью,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Экономика,Экономика,38.03.01,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В.Жириновского»,Экономика,[],"[['+', 'очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Юриспруденция,Юриспруденция,40.03.01,Автономная некоммерческая организация высшего образования «Университет мировых цивилизаций имени В.В.Жириновского»,Юриспруденция,[],"[['очная'], ['заочная'], ['+', 'очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Драматургия,Драматургия,52.03.06,Автономная некоммерческая организация высшего образования «Институт кино и телевидения (ГИТР)»,Драматургия,[],"[['очная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Журналистика,Журналистика,42.03.02,Автономная некоммерческая организация высшего образования «Институт кино и телевидения (ГИТР)»,Журналистика,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Медиакоммуникации,Медиакоммуникации,42.03.05,Автономная некоммерческая организация высшего образования «Институт кино и телевидения (ГИТР)»,Медиакоммуникации,[],"[['заочная']]","[{'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Телевидение,Телевидение,42.03.04,Автономная некоммерческая организация высшего образования «Институт кино и телевидения (ГИТР)»,Телевидение,[],"[['заочная'], ['очно-заочная']]","[{'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Бизнес-информатика,Бизнес-информатика,38.03.05,Автономная некоммерческая организация Высшего образования «Институт Деловой Карьеры»,Бизнес-информатика,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Государственное и муниципальное управление,Государственное и муниципальное управление,38.03.04,Автономная некоммерческая организация Высшего образования «Институт Деловой Карьеры»,Государственное и муниципальное управление,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Лингвистика,Лингвистика,45.03.02,Автономная некоммерческая организация Высшего образования «Институт Деловой Карьеры»,Лингвистика,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Менеджмент,Менеджмент,38.03.02,Автономная некоммерческая организация Высшего образования «Институт Деловой Карьеры»,Менеджмент,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Прикладная информатика,Прикладная информатика,09.03.03,Автономная некоммерческая организация Высшего образования «Институт Деловой Карьеры»,Прикладная информатика,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Психолого-педагогическое образование,Психолого-педагогическое образование,44.03.02,Автономная некоммерческая организация Высшего образования «Институт Деловой Карьеры»,Психолого-педагогическое образование,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Реклама и связи с общественностью,Реклама и связи с общественностью,42.03.01,Автономная некоммерческая организация Высшего образования «Институт Деловой Карьеры»,Реклама и связи с общественностью,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Специальное (дефектологическое) образование,Специальное (дефектологическое) образование,44.03.03,Автономная некоммерческая организация Высшего образования «Институт Деловой Карьеры»,Специальное (дефектологическое) образование,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Туризм,Туризм,43.03.02,Автономная некоммерческая организация Высшего образования «Институт Деловой Карьеры»,Туризм,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Управление персоналом,Управление персоналом,38.03.03,Автономная некоммерческая организация Высшего образования «Институт Деловой Карьеры»,Управление персоналом,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Экономика,Экономика,38.03.01,Автономная некоммерческая организация Высшего образования «Институт Деловой Карьеры»,Экономика,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Юриспруденция,Юриспруденция,40.03.01,Автономная некоммерческая организация Высшего образования «Институт Деловой Карьеры»,Юриспруденция,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Бизнес-информатика,Бизнес-информатика,38.03.05,Образовательное частное учреждение высшего образования «Московский университет имени А.С. Грибоедова»,Бизнес-информатика,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Государственное и муниципальное управление,Государственное и муниципальное управление,38.03.04,Образовательное частное учреждение высшего образования «Московский университет имени А.С. Грибоедова»,Государственное и муниципальное управление,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Журналистика,Журналистика,42.03.02,Образовательное частное учреждение высшего образования «Московский университет имени А.С. Грибоедова»,Журналистика,[],"[['очная'], ['+', 'заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Лингвистика,Лингвистика,45.03.02,Образовательное частное учреждение высшего образования «Московский университет имени А.С. Грибоедова»,Лингвистика,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Менеджмент,Менеджмент,38.03.02,Образовательное частное учреждение высшего образования «Московский университет имени А.С. Грибоедова»,Менеджмент,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Прикладная информатика,Прикладная информатика,09.03.03,Образовательное частное учреждение высшего образования «Московский университет имени А.С. Грибоедова»,Прикладная информатика,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Психология,Психология,37.03.01,Образовательное частное учреждение высшего образования «Московский университет имени А.С. Грибоедова»,Психология,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Реклама и связи с общественностью,Реклама и связи с общественностью,42.03.01,Образовательное частное учреждение высшего образования «Московский университет имени А.С. Грибоедова»,Реклама и связи с общественностью,[],"[['+', 'очная'], ['заочная']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Экономика,Экономика,38.03.01,Образовательное частное учреждение высшего образования «Московский университет имени А.С. Грибоедова»,Экономика,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Юриспруденция,Юриспруденция,40.03.01,Образовательное частное учреждение высшего образования «Московский университет имени А.С. Грибоедова»,Юриспруденция,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Гостиничное дело,Гостиничное дело,43.03.03,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,Гостиничное дело,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Государственное и муниципальное управление,Государственное и муниципальное управление,38.03.04,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,Государственное и муниципальное управление,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Лингвистика,Лингвистика,45.03.02,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,Лингвистика,[],"[['очная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Менеджмент,Менеджмент,38.03.02,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,Менеджмент,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Политология,Политология,41.03.04,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,Политология,[],"[['очная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Реклама и связи с общественностью,Реклама и связи с общественностью,42.03.01,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,Реклама и связи с общественностью,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Социальная работа,Социальная работа,39.03.02,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,Социальная работа,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Техносферная безопасность,Техносферная безопасность,20.03.01,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,Техносферная безопасность,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Туризм,Туризм,43.03.02,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,Туризм,[],"[['очная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Управление персоналом,Управление персоналом,38.03.03,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,Управление персоналом,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Экономика,Экономика,38.03.01,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,Экономика,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Юриспруденция,Юриспруденция,40.03.01,Образовательное учреждение профсоюзов высшего образования «Академия труда и социальных отношений»,Юриспруденция,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Государственное и муниципальное управление,Государственное и муниципальное управление,38.03.04,Частное образовательное учреждение высшего образования «Академия управления и производства»,Государственное и муниципальное управление,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Информационные системы и технологии,Информационные системы и технологии,09.03.02,Частное образовательное учреждение высшего образования «Академия управления и производства»,Информационные системы и технологии,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Менеджмент,Менеджмент,38.03.02,Частное образовательное учреждение высшего образования «Академия управления и производства»,Менеджмент,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Педагогическое образование,Педагогическое образование,44.03.01,Частное образовательное учреждение высшего образования «Академия управления и производства»,Педагогическое образование,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Психология,Психология,37.03.01,Частное образовательное учреждение высшего образования «Академия управления и производства»,Психология,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Экономика,Экономика,38.03.01,Частное образовательное учреждение высшего образования «Академия управления и производства»,Экономика,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Электроэнергетика и электротехника,Электроэнергетика и электротехника,13.03.02,Частное образовательное учреждение высшего образования «Академия управления и производства»,Электроэнергетика и электротехника,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
